2024-01-01,60,1.2,Normal,Operação estável
2024-01-02,85,1.5,Normal,Desempenho ótimo
2024-01-03,120,Falha,Sobreaquecimento detectado
2024-01-04,70,1.8,Normal,Manutenção preventiva realizada
2024-01-05,130,Falha,Sobreaquecimento crítico
2024-01-06,55,0.8,Normal,Funcionamento suave
2024-01-07,80,1.2,Normal,Consumo de energia estável
2024-01-08,115,Falha,Sobreaquecimento moderado
2024-01-09,60,1.5,Normal,Desempenho dentro dos padrões
2024-01-10,85,1.8,Normal,Manutenção de rotina realizada
2024-01-11,140,Falha,Sobreaquecimento grave
2024-01-12,70,1.2,Normal,Operação normal
2024-01-13,95,1.5,Normal,Desempenho bom
2024-01-14,125,Falha,Sobreaquecimento detectado
2024-01-15,80,3.8,Falha,Vibração anormal
2024-01-16,60,1.2,Normal,Manutenção preventiva realizada
2024-01-17,85,1.8,Normal,Desempenho ótimo
2024-01-18,135,Falha,Sobreaquecimento crítico
2024-01-19,55,0.8,Normal,Funcionamento suave
2024-01-20,90,6.0,Falha,Vibração grave
2024-01-01,60,0.8,Normal,Operação estável
2024-01-02,80,1.2,Normal,Desempenho dentro dos parâmetros
2024-01-03,55,0.5,Normal,Funcionamento suave
2024-01-04,85,1.5,Normal,Condições de operação normais
2024-01-05,120,0.6,Falha,Sobreaquecimento detectado
2024-01-06,70,0.9,Normal,Manutenção preventiva realizada
2024-01-07,65,1.1,Normal,Verificação de rotina
2024-01-08,90,1.8,Normal,Limite de temperatura atingido
2024-01-09,130,1.2,Falha,Sobreaquecimento crítico
2024-01-10,60,0.4,Normal,Operação estável
2024-01-11,75,1.3,Normal,Desempenho otimizado
2024-01-12,58,0.7,Normal,Funcionamento eficiente
2024-01-13,82,1.6,Normal,Condições de operação ideais
2024-01-14,140,0.8,Falha,Sobreaquecimento severo
2024-01-15,68,1.0,Normal,Manutenção corretiva realizada
2024-01-16,80,1.4,Normal,Verificação de desempenho
2024-01-17,95,1.7,Normal,Limite de temperatura próximo
2024-01-18,125,3.8,Falha,Vibração anormal detectada
2024-01-19,70,0.9,Normal,Operação dentro dos parâmetros
2024-01-20,145,6.0,Falha,Vibração crítica e sobreaquecimento
2024-01-01,60,1.2,Normal,Operação dentro dos parâmetros normais.
2024-01-02,55,0.8,Normal,Verificação de rotina sem irregularidades.
2024-01-03,120,Falha,Sobreaquecimento detectado, necessidade de resfriamento.
2024-01-04,80,1.5,Normal,Desempenho estável e dentro dos padrões.
2024-01-05,85,1.2,Normal,Manutenção preventiva realizada com sucesso.
2024-01-06,130,Falha,Sobreaquecimento grave, necessário desligamento imediato.
2024-01-07,70,0.9,Normal,Verificação de vibração e temperatura dentro dos limites.
2024-01-08,60,1.1,Normal,Operação contínua sem interrupções.
2024-01-09,140,Falha,Sobreaquecimento crítico, necessidade de reparo urgente.
2024-01-10,75,1.4,Normal,Desempenho dentro dos parâmetros de normalidade.
